# TR BIM Shared Parameters Master — QA + ÇŞB 2026 + Bina Eleman Sınıflandırması
# Sürüm: 4.0 | Tarih: 2026-03 | ISO 19650 / IFC / ÇŞB 2026 /
# Not:  TR_BES bina eleman sınıflandırması eklenmiştir.
# Do not edit manually.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	1	TR-GENEL PROJE BİLGİLERİ
GROUP	2	TR-YAPI BİLGİLERİ
GROUP	3	TR-YANGIN GÜVENLİĞİ (BYKHY 2019)
GROUP	4	TR-DEPREM (TBDY 2018)
GROUP	5	TR-ERİŞİLEBİLİRLİK (TS 9111)
GROUP	6	TR-ENERJİ VERİMLİLİĞİ (BEP-TR)
GROUP	7	TR-ÇŞB POZ NO VE METRAJ
GROUP	8	TR-YAPI DENETİM
GROUP	9	TR-İMAR BİLGİLERİ
GROUP	10	TR-BIM YÖNETİM
GROUP	11	TR-DUVAR ÖZELLİKLERİ
GROUP	12	TR-KAPI ÖZELLİKLERİ
GROUP	13	TR-PENCERE ÖZELLİKLERİ
GROUP	14	TR-DÖŞEME ÖZELLİKLERİ
GROUP	15	TR-ÇATI ÖZELLİKLERİ
GROUP	16	TR-TS500 GENEL BETONARME
GROUP	17	TR-TS500 BA ELEMAN ÖZELLİKLERİ
GROUP	18	TR-TS500 BA DONATILAMA
GROUP	19	TR-TS500 BA KONTROL VE UYGUNLUK
GROUP	20	TR-MEP GENEL (Tesisat Proje Üst Verisi)
GROUP	21	TR-HVAC HAVALANDIRMA VE KLİMA
GROUP	22	TR-ISITMA VE SOĞUTMA SİSTEMİ
GROUP	23	TR-SIHHI TESİSAT (TS EN 806)
GROUP	24	TR-YANGIN TESİSATI (BYKHY 2019)
GROUP	25	TR-ELEKTRİK GÜÇ SİSTEMLERİ
GROUP	26	TR-ZAYIF AKIM SİSTEMLERİ
GROUP	27	TR-MEP QA/QC KONTROL
GROUP	28	TR-MEP METRAJ VE POZ
GROUP	29	TR-SINIFLANDIRMA VE KOD SİSTEMLERİ
GROUP	30	TR-BİNA ELEMAN SINIFLANDIRMASI
GROUP	31	TR-ÇŞB 2026 YAPI SINIFI VE POZ KIRILIMI
GROUP	32	TR-MAHAL VE KONUMSAL AYRIŞIM
GROUP	33	TR-IFC İHRAC VE VERİ EŞLEME
GROUP	34	TR-KEŞİF / METRAJ / MALİYET KIRILIMI
GROUP	35	TR-QA VE TESLİM KONTROLÜ
GROUP	36	TR-ILS / BİLGİ GEREKSİNİMİ
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE	HIDEWHENNOVALUE
PARAM	f1a00001-0001-0001-0001-000000000001	TR_ProjeNo	TEXT		1	1	Proje numarası (ÇŞB/İdare kodu)	1	0
PARAM	f1a00001-0001-0001-0001-000000000002	TR_ProjeAdi	TEXT		1	1	Projenin tam adı	1	0
PARAM	f1a00001-0001-0001-0001-000000000003	TR_ProjeSahibi	TEXT		1	1	İşveren / Proje sahibi adı	1	0
PARAM	f1a00001-0001-0001-0001-000000000004	TR_MimarAdSoyad	TEXT		1	1	Sorumlu mimar adı soyadı	1	0
PARAM	f1a00001-0001-0001-0001-000000000005	TR_MimarOdaNo	TEXT		1	1	TMMOB Mimarlar Odası sicil no	1	0
PARAM	f1a00001-0001-0001-0001-000000000006	TR_StatikMuhendis	TEXT		1	1	Sorumlu inşaat müh. adı soyadı	1	0
PARAM	f1a00001-0001-0001-0001-000000000007	TR_StatikOdaNo	TEXT		1	1	IMO sicil no	1	0
PARAM	f1a00001-0001-0001-0001-000000000008	TR_MekanikMuhendis	TEXT		1	1	Sorumlu makine müh. adı soyadı	1	0
PARAM	f1a00001-0001-0001-0001-000000000009	TR_MekanikOdaNo	TEXT		1	1	MMO sicil no	1	0
PARAM	f1a00001-0001-0001-0001-000000000010	TR_ElektrikMuhendis	TEXT		1	1	Sorumlu elektrik müh. adı soyadı	1	0
PARAM	f1a00001-0001-0001-0001-000000000011	TR_ElektrikOdaNo	TEXT		1	1	EMO sicil no	1	0
PARAM	f1a00001-0001-0001-0001-000000000012	TR_ProjeAsamasi	TEXT		1	1	Ön / Kesin / Uygulama / Ruhsat projesi	1	0
PARAM	f1a00001-0001-0001-0001-000000000013	TR_ProjeRevizyon	TEXT		1	1	Revizyon no ve tarihi	1	0
PARAM	f1a00001-0001-0001-0001-000000000014	TR_CizimNo	TEXT		1	1	Çizim/pafta numarası	1	0
PARAM	f1a00001-0001-0001-0001-000000000015	TR_Olcek	TEXT		1	1	Çizim ölçeği (1:50, 1:100, 1:200 vb)	1	0
PARAM	f1a00002-0001-0001-0001-000000000001	TR_YapiSinifi	TEXT		2	1	Yapı sınıfı: Basit/Normal/Büyük/Özel	1	0
PARAM	f1a00002-0001-0001-0001-000000000002	TR_YapiKullanimAmaci	TEXT		2	1	Konut/Ticari/Endüstriyel/Karma	1	0
PARAM	f1a00002-0001-0001-0001-000000000003	TR_KatAdedi	INTEGER		2	1	Toplam kat adedi (bodrum dahil)	1	0
PARAM	f1a00002-0001-0001-0001-000000000004	TR_ToplamInsaatAlani	AREA		2	1	Toplam inşaat alanı (m2)	1	0
PARAM	f1a00002-0001-0001-0001-000000000005	TR_BrutAlan	AREA		2	1	Brüt alan (m2)	1	0
PARAM	f1a00002-0001-0001-0001-000000000006	TR_NetAlan	AREA		2	1	Net alan (m2)	1	0
PARAM	f1a00002-0001-0001-0001-000000000007	TR_TabanAlani	AREA		2	1	Taban alanı (m2)	1	0
