KategoriProfili,VarsayilanDisiplin,OnerilenRevitKategorileri,ZorunluParametreler_TR,OpsiyonelParametreler_TR,ZorunluSemanticAnahtarlar,BaglamaTuruVarsayilan,Not
All Model Categories,"BIM QA / ILS, IFC / Veri, MEP","Mechanical Equipment, Ducts, Duct Fittings, Duct Accessories, Air Terminals, Pipes, Pipe Fittings, Pipe Accessories, Plumbing Fixtures, Sprinklers, Fire Alarm Devices, Electrical Equipment, Electrical Fixtures, Lighting Fixtures, Lighting Devices, Cable Trays, Cable Tray Fittings, Conduits, Conduit Fittings, Data Devices, Communication Devices, Security Devices | Walls, Doors, Windows, Floors, Roofs, Ceilings, Curtain Panels, Curtain Wall Mullions, Stairs, Railings, Generic Models, Structural Columns, Structural Framing, Structural Foundations, Rebar, Mechanical Equipment, Ducts, Duct Fittings, Duct Accessories, Air Terminals, Pipes, Pipe Fittings, Pipe Accessories, Plumbing Fixtures, Sprinklers, Fire Alarm Devices, Electrical Equipment, Electrical Fixtures, Lighting Fixtures, Lighting Devices, Cable Trays, Cable Tray Fittings, Conduits, Conduit Fittings, Data Devices, Communication Devices, Security Devices","TR_MEP_KontrolDurumu
TR_MEP_RevizyonGerekiyorMu
TR_MEP_KontrolEden
TR_MEP_KontrolTarihi
TR_MEP_Onaylayan
TR_MEP_OnayTarihi
TR_MEP_ClashCozulduMu
TR_MEP_Aciklama
TR_MEP_HesapModelID
TR_MEP_IFCExportSinifi
TR_MEP_PozNo
TR_MEP_PozAdi
TR_MEP_Birim
TR_MEP_Miktar
TR_MEP_BirimFiyat
TR_MEP_ToplamTutar
TR_SinifSistemi
TR_SinifKod1
TR_SinifKod2
TR_SinifKod3
TR_SinifAdi
TR_ElemanKod
TR_ElemanAdi
TR_ElemanAileKodu
TR_MalzemeSinifKodu","TR_PozNo
TR_PozAdi
TR_PozBirim
TR_PozMiktar
TR_PozBirimFiyat
TR_PozToplamTutar
TR_PozImalatTuru
TR_PozDahilMi
TR_PozNot
bSTR_Grup
bSTR_LOD
bSTR_Disiplin
bSTR_Kod
bSTR_Eleman","mep.kontrol.durumu
mep.revizyon.gerekiyor.mu
mep.kontrol.eden
mep.kontrol.tarihi
mep.onaylayan
mep.onay.tarihi
mep.clash.cozuldu.mu
mep.aciklama
mep.hesap.model.id
mep.ifcexport.classi
mep.poz.no
mep.poz.adi
mep.birim
mep.miktar
mep.birim.fiyat
mep.toplam.tutar
class.sistemi
class.code1
class.code2
class.code3
class.adi
element.code
element.adi
element.aile.codeu
malzeme.class.codeu",Instance / Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
Architecture - Accessibility,Mimari,"Mechanical Equipment, Specialty Equipment, Generic Models | Parking, Generic Models | Ramps, Floors, Generic Models","TR_EngRampaVarMi
TR_EngRampaEgimi
TR_EngAsansorVarMi
TR_EngOtoparkVarMi",,"eng.rampa.var.mi
eng.rampa.egimi
eng.asansor.var.mi
eng.otopark.var.mi",Instance,Binding matrisi ve shared parameter master baz alınarak üretildi.
Architecture - Doors,Mimari,Doors,"TR_KapiTipi
TR_KapiGenislik
TR_KapiYukseklik
TR_KapiYangınSinifi
TR_KapiEngelli
TR_KapiPanikBar
TR_KapiAcilisYonu
TR_KapiKilitTipi
TR_KapiUretici
TR_KapiPozNo
TR_KapiUDegeri
TR_KapiSesYalitim","TR_YangKapiSinifi
TR_EngKapiGenislik","door.type
door.width
door.height
door.fire.classi
door.engelli
door.panik.bar
door.swing.direction
door.kilit.type
door.manufacturer
door.poz.no
door.udegeri
door.sound.insulation",Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
Architecture - Floors,Mimari,Floors,"TR_DosemeTipi
TR_DosemeKalinligi
TR_DosemeKaplama
TR_DosemeREI
TR_DosemeSuYalitim
TR_DosemeIsıYalitim
TR_DosemeUDegeri
TR_DosemeSesYalitim
TR_DosemePozNo
TR_DosemeYukKapasitesi",TR_ZeminKatUDegeri,"floor.type
floor.kalinligi
floor.kaplama
floor.rei
floor.su.yalitim
floor.isi.yalitim
floor.udegeri
floor.sound.insulation
floor.poz.no
floor.yuk.kapasitesi",Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
Architecture - Roofs,Mimari,Roofs,"TR_CatiTipi
TR_CatiEgimi
TR_CatiKaplama
TR_CatiSuYalitim
TR_CatiIsıYalitim
TR_CatiUDegeri
TR_CatiREI
TR_CatiPozNo",,"roof.type
roof.egimi
roof.kaplama
roof.su.yalitim
roof.isi.yalitim
roof.udegeri
roof.rei
roof.poz.no",Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
Architecture - Stairs / Egress,Mimari,"Stairs, Railings","TR_YangMerdiven
TR_YangMerdivenGenislik",,"yang.merdiven
yang.merdiven.width",Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
Architecture - Walls,Mimari,Walls,"TR_DuvarTipi
TR_DuvarKalinligi
TR_DuvarYapimTuru
TR_DuvarYalitimTipi
TR_DuvarREI
TR_DuvarSesYalitim
TR_DuvarUDegeri
TR_DuvarDisKaplama
TR_DuvarIcKaplama
TR_DuvarPozNo",TR_YangDuvarDirenc,"wall.type
wall.kalinligi
wall.buildingm.turu
wall.yalitim.type
wall.rei
wall.sound.insulation
wall.udegeri
wall.dis.kaplama
wall.ic.kaplama
wall.poz.no",Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
Architecture - Windows,Mimari,"Windows, Curtain Panels","TR_PencereTipi
TR_PencereGenislik
TR_PencereYukseklik
TR_PencereCamTipi
TR_PencereUDegeri
TR_PencereSHGC
TR_PencereAcilmaTipi
TR_PencereCerceveSistemi
TR_PencereSesYalitim
TR_PencerePozNo
TR_PencereUretici
TR_PencereEmniyet",TR_CercevePencereUw,"window.type
window.width
window.height
window.glass.type
window.udegeri
window.shgc
window.opening.type
window.cerceve.sistemi
window.sound.insulation
window.poz.no
window.manufacturer
window.emniyet",Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
MEP - Electrical / Weak Current,MEP,"Data Devices, Communication Devices, Fire Alarm Devices, Security Devices, Conduits, Cable Trays | Electrical Equipment, Electrical Fixtures, Lighting Fixtures, Lighting Devices, Cable Trays, Conduits","TR_ELK_SistemGerilimiV
TR_ELK_KableTipi
TR_ELK_KableCap
TR_ELK_DevreTipi
TR_ELK_PanoAdi
TR_ELK_DevreNo
TR_ELK_GuvenlikSinifi
TR_ELK_YangindaCalismaSuresi
TR_ELK_KorumaTipi
TR_ELK_SistemAdi
TR_ZA_SistemTipi
TR_ZA_KableTipi
TR_ZA_CihazAdi
TR_ZA_ZonNo
TR_ZA_IPAdresi
TR_ZA_GucTuketimi
TR_ZA_POEVarMi
TR_ZA_SistemAdi",,"elk.sistem.gerilimi.v
elk.kable.type
elk.kable.cap
elk.devre.type
elk.pano.adi
elk.devre.no
elk.guvenlik.classi
elk.fireda.calisma.suresi
elk.koruma.type
elk.sistem.adi
za.sistem.type
za.kable.type
za.cihaz.adi
za.zon.no
za.ipadresi
za.guc.tuketimi
za.poevar.mi
za.sistem.adi",Instance / Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
MEP - HVAC,"MEP, Mimari","Mechanical Equipment, Ducts, Duct Fittings, Duct Accessories, Air Terminals | Mechanical Equipment, Ducts, Pipes, Air Terminals | Mechanical Equipment, Pipes, Pipe Fittings, Pipe Accessories","TR_HVAC_SistemTipi
TR_HVAC_KapalıDevreMi
TR_HVAC_KanalTipi
TR_HVAC_HavaHizi
TR_HVAC_HavaDebisi
TR_HVAC_BasıncKaybi
TR_HVAC_YalitimTipi
TR_HVAC_YangınDamperVarMi
TR_HVAC_DumDamperVarMi
TR_HVAC_SistemAdi
TR_HVAC_GurultuSeviyesi
TR_ISI_SistemTipi
TR_ISI_KazanTipi
TR_ISI_BorMalzeme
TR_ISI_BorCap
TR_ISI_IsıtmaDebi
TR_ISI_SogutmaDebi
TR_ISI_GirisScakligi
TR_ISI_DonusScakligi
TR_ISI_YalitimTipi
TR_ISI_BasincSinifi
TR_ISI_SistemAdi","TR_IsitmaSistemi
TR_SogutmaSistemi
TR_HavalandirmaSistemi","hvac.sistem.type
hvac.kapali.devre.mi
hvac.kanal.type
hvac.hava.hizi
hvac.hava.debisi
hvac.basinc.kaybi
hvac.yalitim.type
hvac.fire.damper.var.mi
hvac.dum.damper.var.mi
hvac.sistem.adi
hvac.gurultu.seviyesi
isi.sistem.type
isi.kazan.type
isi.bor.malzeme
isi.bor.cap
isi.heating.debi
isi.cooling.debi
isi.giris.scakligi
isi.donus.scakligi
isi.yalitim.type
isi.basinc.classi
isi.sistem.adi",Instance / Type,Binding matrisi ve shared parameter master baz alınarak üretildi.
