SemanticAnahtar,StandartParametre_TR,StandartParametre_EN,KaynakDil,KaynakIfade,Description_TR,Description_EN,DataType,GroupName,CeviriKaynagi,GozdenGecirmeDurumu,EN_GroupName
proje_no,TR_ProjeNo,EN_ProjectNumber,tr,TR_ProjeNo,Proje numarası (ÇŞB/İdare kodu),Project number (MoEUA / administration code),TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
proje_adi,TR_ProjeAdi,EN_ProjectName,tr,TR_ProjeAdi,Projenin tam adı,Full project name,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
proje_sahibi,TR_ProjeSahibi,EN_ProjectOwner,tr,TR_ProjeSahibi,İşveren / Proje sahibi adı,Employer / project owner name,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
mimar_ad_soyad,TR_MimarAdSoyad,EN_ArchitectFullName,tr,TR_MimarAdSoyad,Sorumlu mimar adı soyadı,Responsible architect full name,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
mimar_oda_no,TR_MimarOdaNo,EN_ArchitectLicenseNumber,tr,TR_MimarOdaNo,TMMOB Mimarlar Odası sicil no,Chamber of Architects license number,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
statik_muhendis,TR_StatikMuhendis,EN_StructuralEngineerFullName,tr,TR_StatikMuhendis,Sorumlu inşaat müh. adı soyadı,Responsible structural engineer full name,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
statik_oda_no,TR_StatikOdaNo,EN_StructuralEngineerLicenseNumber,tr,TR_StatikOdaNo,IMO sicil no,Chamber of Civil Engineers license number,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
mekanik_muhendis,TR_MekanikMuhendis,EN_MechanicalEngineerFullName,tr,TR_MekanikMuhendis,Sorumlu makine müh. adı soyadı,Responsible mechanical engineer full name,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
mekanik_oda_no,TR_MekanikOdaNo,EN_MechanicalEngineerLicenseNumber,tr,TR_MekanikOdaNo,MMO sicil no,Chamber of Mechanical Engineers license number,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
elektrik_muhendis,TR_ElektrikMuhendis,EN_ElectricalEngineerFullName,tr,TR_ElektrikMuhendis,Sorumlu elektrik müh. adı soyadı,Responsible electrical engineer full name,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
elektrik_oda_no,TR_ElektrikOdaNo,EN_ElectricalEngineerLicenseNumber,tr,TR_ElektrikOdaNo,EMO sicil no,Chamber of Electrical Engineers license number,TEXT,TR-GENEL PROJE BİLGİLERİ,shared_param_definition,kontrol_gerekli,EN-GENERAL PROJECT INFO
