Terim_TR,StandartKarsilik_EN,Terim_ES,Terim_PT,Terim_RU,KisaKod,NamingToken_TR,KullanimTipi,KategoriKumesi,Kaynak
1 sn periyot spektral ivme S1 (g),1-second period spectral acceleration S1 (g),Aceleración espectral S1 a 1 segundo (g),Aceleração espectral S1 a 1 segundo (g),Спектральное ускорение S1 за 1 секунду (g),,1snperiyotspektralivmeS1(g),aciklama,Description,semantic_dictionary
2026,2026,2026,2026,2026,,2026,token,Param Token,semantic_dictionary
500,500,500,500,500,,500,token,Param Token,semantic_dictionary
Aciklama,Note,Note,Note,Note,,Aciklama,token,Param Token,semantic_dictionary
Acil durum aydınlatma var mı?,Is there emergency lighting?,¿Hay iluminación de emergencia?,Há iluminação de emergência?,Есть ли аварийное освещение?,,Acildurumaydinlatmavarmi?,aciklama,Description,semantic_dictionary
Acil durum yönlendirme var mı?,Is there emergency wayfinding signage?,¿Hay señalización de orientación de emergencia?,Há sinalização de orientação de emergência?,Есть ли указатели аварийной навигации?,,Acildurumyonlendirmevarmi?,aciklama,Description,semantic_dictionary
Acilis,Opening,Opening,Opening,Opening,,Acilis,token,Param Token,semantic_dictionary
Acilma,Opening,Opening,Opening,Opening,,Acilma,token,Param Token,semantic_dictionary
Ad,Full,Full,Full,Full,,Ad,token,Param Token,semantic_dictionary
Ada,Block,Block,Block,Block,,Ada,token,Param Token,semantic_dictionary
Ada numarası,Block (ada) number,bloque (ada) número,bloco (ada) número,блок (ada) номер,,Adanumarasi,aciklama,Description,semantic_dictionary
AdaNo,BlockNumber,BlockNumber,BlockNumber,BlockNumber,,AdaNo,param_ad,Shared Parameter,semantic_dictionary
Adedi,Count,Count,Count,Count,,Adedi,token,Param Token,semantic_dictionary
Adi,Name,Name,Name,Name,,Adi,token,Param Token,semantic_dictionary
Adlandirma,Naming,Naming,Naming,Naming,,Adlandirma,token,Param Token,semantic_dictionary
Aile,Family,Family,Family,Family,,Aile,token,Param Token,semantic_dictionary
Aile / ürün ailesi kodu,Family / product family code,Código de familia / familia de producto,Código da família / família do produto,Код семейства / семейства продукта,,Aile/urunailesikodu,aciklama,Description,semantic_dictionary
Ailesi,Family,Family,Family,Family,,Ailesi,token,Param Token,semantic_dictionary
Aks,Grid,Grid,Grid,Grid,,Aks,token,Param Token,semantic_dictionary
AksX,GridX,GridX,GridX,GridX,,AksX,param_ad,Shared Parameter,semantic_dictionary
AksY,GridY,GridY,GridY,GridY,,AksY,param_ad,Shared Parameter,semantic_dictionary
Aktarim,Export,Export,Export,Export,,Aktarim,token,Param Token,semantic_dictionary
Alan,Area,Área,Área,Площадь,,Alan,token,Param Token,semantic_dictionary
Alani,Area,Area,Area,Area,,Alani,token,Param Token,semantic_dictionary
Alfanumerik,Alphanumeric,Alphanumeric,Alphanumeric,Alphanumeric,,Alfanumerik,token,Param Token,semantic_dictionary
Alt,Rebar,Rebar,Rebar,Rebar,,Alt,token,Param Token,semantic_dictionary
Alt ana donatı (örn: 3Ø16),Bottom main reinforcement (e.g. 3Ø16),Armadura principal inferior (p. ej. 3Ø16),Armadura principal inferior (ex.: 3Ø16),"Нижняя основная арматура (например, 3Ø16)",,Altanadonati(orn:3Ø16),aciklama,Description,semantic_dictionary
Alt tür: Çerçeve/Perde+Çerçeve/Perdeli/Tüp,Sub-type: Frame / Dual / Shear wall / Tube,Subtipo: pórtico / dual / muro de corte / tubo,Subtipo: pórtico / dual / parede de corte / tubo,Подтип: рама / двойная система / стена сдвига / трубчатая,,Alttur:Cerceve/Perde+Cerceve/Perdeli/Tup,aciklama,Description,semantic_dictionary
Amaci,Purpose,Purpose,Purpose,Purpose,,Amaci,token,Param Token,semantic_dictionary
